observation_date,TCU
2023-05-01,77.5496
2023-06-01,76.8467
2023-07-01,77.3773
2023-08-01,77.2588
2023-09-01,77.3375
2023-10-01,76.8590
2023-11-01,77.1081
2023-12-01,76.8580
2024-01-01,75.7542
2024-02-01,76.5157
2024-03-01,76.5964
2024-04-01,76.3803
2024-05-01,76.7961
2024-06-01,76.7586
2024-07-01,75.9946
2024-08-01,76.2697
2024-09-01,75.7216
2024-10-01,75.3852
2024-11-01,75.1681
2024-12-01,75.8651
